CAS_No,EC_No,Substance_Name,MLC132_Entry,MLC132_Status_by_ROW,MLC132_Details,Policy Specific Requirements,Consider_Specific_Details
55066-76-7,,"2,2',3,3',5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59261-08-4,,"2,2',4,4',6,6'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
60044-26-0,,"3,3',4,4',5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67888-98-6,,"2,2',3,4,4',5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67888-99-7,,"2,3',4,4',5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
69278-59-7,,"2,2',3,4',5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
77607-09-1,,"2,3,3',4,4',5-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
81381-52-4,,"2,2',3,4,4',5-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
82865-89-2,,"2,2',3,3',4,4'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
82865-90-5,,"2,2',3,3',4,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
82865-91-6,,"2,3,3',4',5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
84303-47-9,,"2,3,3',4,4',5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
84303-48-0,,"2,3',4,4',5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
93261-83-7,,"2,2',3,4',6,6'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-50-5,,"2,2',3,3',4,6'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-51-6,,"2,2',3,3',5,6'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-52-7,,"2,2',3,4,5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-53-8,,"2,2',3,5,5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
120991-47-1,,"2,2',3,4,5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
120991-48-2,,"2,3,3',4,5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
27753-52-2,248-637-5,"Nonabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
56307-79-0,,Pentabromophenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
144978-89-2,,"2,3,3',4',6-Pentabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
144978-90-5,,"2,2',4-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
507241-82-9,,"2,2',6-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
35194-78-6,,Heptabromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
6430-90-6,,"2,4,4'-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
6683-35-8,,"3,4,4'-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
16372-96-6,,"3,5-Dibromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
27479-65-8,,Dibromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
51202-79-0,,Tribromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67888-97-5,,"2,3',4,4',5-Pentabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
72416-87-6,,"3,4',5-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
80407-70-1,,"2,3',4,5,5'-Pentabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
81902-33-2,,"3,3',4,5,5'-Pentabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
84303-46-8,,"3,3',4,4',5-Pentabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
86029-64-3,,"2,3',4,4',6-Pentabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
97038-99-8,,"2,3,3',4-Tetrabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
115245-06-2,,"2,3-Dibromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
115245-07-3,,"2,4,5-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
115245-08-4,,"3,4,5-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
