CAS_No,EC_No,Substance_Name,MLC132_Entry,MLC132_Status_by_ROW,MLC132_Details,Policy Specific Requirements,Consider_Specific_Details
55215-18-4,,"2,2’,3,3’,4,5-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
55312-69-1,,"2,2’,3,4,5-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
55702-45-9,,"2,3,6-trichlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
55702-46-0,,"2,3,4-trichlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
55712-37-3,,"2,3’,4-trichlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
55720-44-0,,"2,3,5-trichlorobiphenyl Congener ",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
55722-26-4,,Octachlorobiphenyl Homolog,Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
56030-56-9,,"2,2’,3,4,4’,6-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
56558-16-8,,"2,2’,4,6,6’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
56558-17-9,,"2,3’,4,4’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
56558-18-0,,"2,3’,4,5’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
57465-28-8,,"3,3’,4,4’,5-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
59291-64-4,,"2,2’,3,4,4’,6’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
59291-65-5,,"2,3’,4,4’,5’6-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
60145-20-2,,"2,2’,3,3’,5-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
60145-21-3,,"2,2’,4,5’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
60145-22-4,,"2,2’,4,4’,5,6’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
60145-23-5,,"2,2’,3,4,4’,5,6’-heptachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
60233-24-1,,"2,3’,4,6-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
60233-25-2,,"2,2’,3,4’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
61798-70-7,,"2,2’,3,3’,4,6-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
62796-65-0,,"2,2’,4,6-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
65510-44-3,,"2,3’,4,4’,5-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
65510-45-4,,"2,2’,3,4,4’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-04-7,,"2,2’,4,6’-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-05-8,,"2,2’,3,4’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-06-9,,"2,2’,4,5,6’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-07-0,,"2,2’,3,4’,5-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-08-1,,"2,2’,3,4’,6,6’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-09-2,,"2,2’,3,5,6,6’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-10-5,,"2,3,3’,5’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-11-6,,"2,3,4’,5,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-12-7,,"2,3’,4,5,5’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-13-8,,"2,2’,3,4’,5,6-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-14-9,,"2,2’,3,4,5’,6-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-15-0,,"2,2’,3,4,5,6’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-16-1,,"2,2’,3,3’,4,5,6-heptachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68194-17-2,,"2,2’,3,3’,4,5,5’,6-octachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
69782-90-7,,"2,3,3’,4,4’,5’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
69782-91-8,,"2,3,3’,4’,5,5’,6-heptachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70362-41-3,,"2,3,3’,4,5’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70362-45-7,,"2,2’,3,6-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70362-46-8,,"2,2’,3,5-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70362-47-9,,"2,2’,4,5-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70362-48-0,,"2,3’,4’,5’-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70362-49-1,,"3,3’,4,5-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70362-50-4,,"3,4,4’,5-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70424-67-8,,"2,3,3’,5-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70424-68-9,,"2,3,3’,4,5’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70424-69-0,,"2,3,3’,4,5-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
70424-70-3,,"2,3’,4’,5,5’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
71328-89-7,,Aroclor 1240 Mixture,Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
73575-52-7,,"2,3’,4,5’-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
73575-53-8,,"2,3’,4,5-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
73575-54-9,,"2,2’3’,6,6’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
73575-55-0,,"2,2’3’,5,6’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
73575-56-1,,"2,2’,3’,5,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
73575-57-2,,"2,2’,3,4,6’-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74338-23-1,,"2,3’,5’,6-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74338-24-2,,"2,3,3’,4-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-33-6,,"2,3,3’,6-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-34-7,,"2,3,4’,5-tetrachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-35-8,,"2,3,3’,4,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-36-9,,"2,3,3’,5,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-37-0,,"2,3,4,4’,5-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-38-1,,"2,3,4,4’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-39-2,,"2,3’,4’,5’,6-pentachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-40-5,,"2,2’,3,4,6,6’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-41-6,,"2,2’,3,4’,5,6’-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
74472-42-7,,"2,3,3’,4,4’,6-hexachlorobiphenyl Congener",Annex I & II of the Regulation (EU) No. 1257/2013 of the European Parliament and of the Council of 20 November 2013 on ship recycling,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
